price,area,status,bhk,bathroom,age,location,builder
97.57,1668,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
85.99,1470,Under Construction,3,2,0,Mogappair,Casagrand Builder Private Limited
83.86,1342,Under Construction,2,,0,Mogappair,Casagrand Builder Private Limited
121,1947,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
61.48,1051,Under Construction,2,2,0,Mogappair,Casagrand Builder Private Limited
115,1849,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
139,2228,Under Construction,4,,0,Mogappair,Casagrand Builder Private Limited
85.17,1363,Under Construction,2,,0,Mogappair,Casagrand Builder Private Limited
70.02,1197,Under Construction,2,2,0,Mogappair,Casagrand Builder Private Limited
47.3,1113,Under Construction,2,,0,Mogappair,Casagrand Builder Private Limited
69.53,1636,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
51.38,1209,Under Construction,2,2,0,Mogappair,Casagrand Builder Private Limited
68.55,1613,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
57.5,1353,Under Construction,3,2,0,Mogappair,Casagrand Builder Private Limited
70.38,1656,Under Construction,3,3,0,Mogappair,Casagrand Builder Private Limited
65.02,1530,Under Construction,3,3,0,Mogappair,Casagrand Builder Private Limited
59.33,1396,Under Construction,3,2,0,Mogappair,Casagrand Builder Private Limited
65.11,1532,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
87.4,1469,Ready to move,3,,2,Vengaivasal,Navin Housing Properties P LTD
81.57,1371,Ready to move,3,,2,Vengaivasal,Navin Housing Properties P LTD
35.34,594,Ready to move,2,,2,Vengaivasal,Navin Housing Properties P LTD
88.29,1484,Ready to move,3,,2,Vengaivasal,Navin Housing Properties P LTD
35.16,591,Ready to move,2,,2,Vengaivasal,Navin Housing Properties P LTD
35.58,598,Ready to move,2,,2,Vengaivasal,Navin Housing Properties P LTD
35.75,601,Ready to move,2,,2,Vengaivasal,Navin Housing Properties P LTD
117,2132,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited
112,2042,Ready to move,3,,1,Ottiyambakkam,Jones foundation private limited
148,2701,Ready to move,3,,1,Ottiyambakkam,Jones foundation private limited
83.65,1521,Ready to move,3,,1,Ottiyambakkam,Jones foundation private limited
108,1978,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited
78.15,1421,Ready to move,3,,1,Ottiyambakkam,Jones foundation private limited
79.98,1740,Under Construction,3,,0,Sholinganallur,Casagrand Builder Private Limited
79.98,1740,Under Construction,3,,0,Sholinganallur,Casagrand Builder Private Limited
94.48,2055,Under Construction,4,,0,Sholinganallur,Casagrand Builder Private Limited
94.48,2055,Under Construction,4,,0,Sholinganallur,Casagrand Builder Private Limited
68.69,1494,Under Construction,3,2,0,Sholinganallur,Casagrand Builder Private Limited
68.69,1494,Under Construction,3,2,0,Sholinganallur,Casagrand Builder Private Limited
24.25,614,Under Construction,2,,0,Perungalathur,Isha Homes
24.41,618,Under Construction,2,1,0,Perungalathur,Isha Homes
19.9,504,Under Construction,1,,0,Perungalathur,Isha Homes
53.07,1005,Under Construction,2,,0,Gerugambakkam,Kochar Homes Pvt Ltd
56.64,1069,Under Construction,2,,0,Gerugambakkam,Kochar Homes Pvt Ltd
37.7,903,Under Construction,2,,0,Perungalathur,Isha Homes
44,1054,Under Construction,2,,0,Perungalathur,Isha Homes
40.53,971,Under Construction,2,,0,Perungalathur,Isha Homes
51.01,1222,Under Construction,3,,0,Perungalathur,Isha Homes
33.19,795,Under Construction,2,,0,Perungalathur,Isha Homes
48.26,1156,Under Construction,2,,0,Perungalathur,Isha Homes
36.11,865,Under Construction,2,,0,Perungalathur,Isha Homes
37.4,896,Under Construction,2,,0,Perungalathur,Isha Homes
39.78,953,Under Construction,2,,0,Perungalathur,Isha Homes
32.81,786,Under Construction,2,,0,Perungalathur,Isha Homes
47.76,1144,Under Construction,3,,0,Perungalathur,Isha Homes
36.9,884,Under Construction,2,,0,Perungalathur,Isha Homes
35.77,857,Under Construction,2,,0,Perungalathur,Isha Homes
32.94,789,Under Construction,2,,0,Perungalathur,Isha Homes
32.73,784,Under Construction,2,,0,Perungalathur,Isha Homes
32.69,783,Under Construction,2,,0,Perungalathur,Isha Homes
47.26,1132,Under Construction,3,,0,Perungalathur,Isha Homes
33.94,813,Under Construction,2,,0,Perungalathur,Isha Homes
107,1948,Ready to move,3,,1,Kelambakkam,Isha Homes
116,2122,Ready to move,3,,1,Kelambakkam,Isha Homes
117,2134,Ready to move,3,,1,Kelambakkam,Isha Homes
94.98,1727,Ready to move,3,,1,Kelambakkam,Isha Homes
138,2526,Ready to move,3,,1,Kelambakkam,Isha Homes
94.93,1726,Ready to move,3,,1,Kelambakkam,Isha Homes
93.5,1700,Ready to move,3,,1,Kelambakkam,Isha Homes
109,1994,Ready to move,3,,1,Kelambakkam,Isha Homes
240,1500,Under Construction,3,,0,Anna Nagar,Pushkar Properties Pvt Ltd
240,1500,Under Construction,3,,0,Anna Nagar,Pushkar Properties Pvt Ltd
240,1500,Under Construction,3,,0,Anna Nagar,Pushkar Properties Pvt Ltd
66.99,1155,Under Construction,3,,0,Pammal,Asset Tree Homes
49.88,860,Under Construction,2,,0,Pammal,Asset Tree Homes
46.11,795,Under Construction,2,,0,Pammal,Asset Tree Homes
48.88,873,Under Construction,2,,0,Pammal,Asset Tree Homes
74.48,1330,Under Construction,3,,0,Pammal,Asset Tree Homes
74.48,1330,Under Construction,3,,0,Pammal,Asset Tree Homes
63.39,1132,Under Construction,3,,0,Pammal,Asset Tree Homes
63.39,1132,Under Construction,3,,0,Pammal,Asset Tree Homes
72.85,1301,Under Construction,3,,0,Pammal,Asset Tree Homes
72.85,1301,Under Construction,3,,0,Pammal,Asset Tree Homes
66.99,1155,Under Construction,3,,0,Pammal,Asset Tree Homes
46.11,795,Under Construction,2,,0,Pammal,Asset Tree Homes
49.88,860,Under Construction,2,,0,Pammal,Asset Tree Homes
66.99,1155,Under Construction,3,,0,Pammal,Asset Tree Homes
46.11,795,Under Construction,2,,0,Pammal,Asset Tree Homes
66.99,1155,Under Construction,3,,0,Pammal,Asset Tree Homes
49.88,860,Under Construction,2,,0,Pammal,Asset Tree Homes
46.11,795,Under Construction,2,,0,Pammal,Asset Tree Homes
67.62,1166,Under Construction,3,,0,Pammal,Asset Tree Homes
49.88,860,Under Construction,2,,0,Pammal,Asset Tree Homes
67.62,1166,Under Construction,3,,0,Pammal,Asset Tree Homes
60.55,1044,Under Construction,3,,0,Pammal,Asset Tree Homes
60.55,1044,Under Construction,3,,0,Pammal,Asset Tree Homes
42.28,729,Under Construction,2,,0,Pammal,Asset Tree Homes
60.55,1044,Under Construction,3,,0,Pammal,Asset Tree Homes
42.28,729,Under Construction,2,,0,Pammal,Asset Tree Homes
42.28,729,Under Construction,2,,0,Pammal,Asset Tree Homes
77.02,1328,Under Construction,3,,0,Pammal,Asset Tree Homes
77.02,1328,Under Construction,3,,0,Pammal,Asset Tree Homes
57.59,993,Under Construction,3,,0,Pammal,Asset Tree Homes
57.59,993,Under Construction,3,,0,Pammal,Asset Tree Homes
61.88,1067,Under Construction,3,,0,Pammal,Asset Tree Homes
61.88,1067,Under Construction,3,,0,Pammal,Asset Tree Homes
47.27,815,Under Construction,2,,0,Pammal,Asset Tree Homes
47.27,815,Under Construction,2,,0,Pammal,Asset Tree Homes
92.65,1287,Under Construction,3,,0,Porur,Urban Tree Infrastructures
78.1,1085,Under Construction,3,3,0,Porur,Urban Tree Infrastructures
73.93,1027,Under Construction,2,,0,Porur,Urban Tree Infrastructures
69.9,971,Under Construction,2,,0,Porur,Urban Tree Infrastructures
69.54,966,Under Construction,2,,0,Porur,Urban Tree Infrastructures
71.05,1579,Ready to move,3,3,5,Navallur,Olympia Group
115,2388,Ready to move,4,,5,Navallur,Olympia Group
71.01,1578,Ready to move,3,,5,Navallur,Olympia Group
62.37,1386,Ready to move,3,,5,Navallur,Olympia Group
70.51,1567,Ready to move,3,,5,Navallur,Olympia Group
28,561,Under Construction,2,,0,Thirumazhisai,Vijay Raja Homes Private Limited
16,319,Under Construction,1,1,0,Thirumazhisai,Vijay Raja Homes Private Limited
30,576,Under Construction,2,,0,Thirumazhisai,Vijay Raja Homes Private Limited
15.36,300,Under Construction,1,1,0,Thirumazhisai,Vijay Raja Homes Private Limited
47.84,957,Under Construction,2,,0,Vanagaram,VNR Homes
47.84,957,Under Construction,2,,0,Vanagaram,VNR Homes
45.99,920,Under Construction,2,,0,Vanagaram,VNR Homes
45.99,920,Under Construction,2,,0,Vanagaram,VNR Homes
47.84,957,Under Construction,2,,0,Vanagaram,VNR Homes
47.84,957,Under Construction,2,,0,Vanagaram,VNR Homes
45.59,912,Under Construction,2,,0,Vanagaram,VNR Homes
45.59,912,Under Construction,2,,0,Vanagaram,VNR Homes
48.79,976,Under Construction,2,,0,Vanagaram,VNR Homes
48.79,976,Under Construction,2,,0,Vanagaram,VNR Homes
46.24,925,Under Construction,2,,0,Vanagaram,VNR Homes
46.24,925,Under Construction,2,,0,Vanagaram,VNR Homes
48.64,885,Under Construction,2,,0,Sholinganallur,PS Srijan Developers
74.23,1415,Under Construction,3,,0,Sholinganallur,PS Srijan Developers
48.88,890,Under Construction,2,,0,Sholinganallur,PS Srijan Developers
47.43,860,Under Construction,2,,0,Sholinganallur,PS Srijan Developers
46.95,850,Under Construction,2,,0,Sholinganallur,PS Srijan Developers
47.67,865,Under Construction,2,,0,Sholinganallur,PS Srijan Developers
73.51,1400,Under Construction,3,,0,Sholinganallur,PS Srijan Developers
138,2525,Ready to move,4,,,Sholinganallur,Appaswamy Real Estate
75.07,1365,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
68.86,1252,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
101,1847,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
74.58,1356,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
132,2418,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
64.4,1171,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
109,1998,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
77.11,1402,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
80.19,1458,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
70.67,1285,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
141,2580,Ready to move,4,,,Sholinganallur,Appaswamy Real Estate
90.91,1653,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
129,2357,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
91.3,1660,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
80.79,1469,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
69.52,1264,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
65.89,1198,Ready to move,2,,,Sholinganallur,Appaswamy Real Estate
64.25,1737,Ready to move,3,,5,Siruseri,Appaswamy Real Estate
60.66,1640,Ready to move,3,,5,Siruseri,Appaswamy Real Estate
57.22,1547,Ready to move,3,,5,Siruseri,Appaswamy Real Estate
58.59,1584,Ready to move,3,,5,Siruseri,Appaswamy Real Estate
55,1487,Ready to move,3,,5,Siruseri,Appaswamy Real Estate
58.85,1591,Ready to move,3,,5,Siruseri,Appaswamy Real Estate
298,1890,Under Construction,3,,0,Guindy,Puravankara Limited
121,2583,Ready to move,4,2,1,Kanathur Reddikuppam,Casagrand Builder Private Limited
292,5037,Ready to move,5,,1,Kanathur Reddikuppam,Casagrand Builder Private Limited
123,2635,Ready to move,4,4,1,Kanathur Reddikuppam,Casagrand Builder Private Limited
295,5093,Ready to move,5,,1,Kanathur Reddikuppam,Casagrand Builder Private Limited
85.99,1865,Ready to move,3,3,1,Kanathur Reddikuppam,Casagrand Builder Private Limited
85,1635,Under Construction,3,,0,Manapakkam,Casagrand Builder Private Limited
64.99,1274,Under Construction,2,2,0,Manapakkam,Casagrand Builder Private Limited
135,2323,Under Construction,4,,0,Manapakkam,Casagrand Builder Private Limited
99.5,1914,Under Construction,3,3,0,Manapakkam,Casagrand Builder Private Limited
65.3,1280,Under Construction,2,,0,Manapakkam,Casagrand Builder Private Limited
67.7,1328,Under Construction,2,2,0,Manapakkam,Casagrand Builder Private Limited
138,2372,Under Construction,4,,0,Manapakkam,Casagrand Builder Private Limited
77.89,1528,Under Construction,3,2,0,Manapakkam,Casagrand Builder Private Limited
78.79,1530,Ready to move,3,,1,Ayanambakkam,Casagrand Builder Private Limited
82.3,1599,Ready to move,3,,1,Ayanambakkam,Casagrand Builder Private Limited
65.5,1472,Under Construction,3,,0,Medavakkam,Casagrand Builder Private Limited
95.23,2140,Under Construction,4,,0,Medavakkam,Casagrand Builder Private Limited
37.15,835,Under Construction,2,,0,Medavakkam,Casagrand Builder Private Limited
58.47,1314,Under Construction,3,,0,Medavakkam,Casagrand Builder Private Limited
79.25,1781,Under Construction,3,,0,Medavakkam,Casagrand Builder Private Limited
79.74,1792,Under Construction,3,,0,Medavakkam,Casagrand Builder Private Limited
74,1605,Ready to move,3,,1,Karapakkam,Casagrand Builder Private Limited
79.16,1616,Ready to move,3,2,1,Karapakkam,Casagrand Builder Private Limited
75,1626,Ready to move,3,,1,Karapakkam,Casagrand Builder Private Limited
122,1882,Under Construction,3,,0,Madipakkam,Jones Foundations
79.49,1223,Under Construction,2,,0,Madipakkam,Jones Foundations
84.24,1296,Under Construction,2,,0,Madipakkam,Jones Foundations
95.61,1471,Under Construction,3,,0,Madipakkam,Jones Foundations
117,1807,Under Construction,3,,0,Madipakkam,Jones Foundations
96,1477,Under Construction,3,,0,Madipakkam,Jones Foundations
121,1871,Under Construction,3,,0,Madipakkam,Jones Foundations
79.3,1220,Under Construction,2,,0,Madipakkam,Jones Foundations
126,1947,Under Construction,3,,0,Madipakkam,Jones Foundations
92.1,1417,Under Construction,3,,0,Madipakkam,Jones Foundations
78.84,1213,Under Construction,2,,0,Madipakkam,Jones Foundations
77.61,1194,Under Construction,2,,0,Madipakkam,Jones Foundations
124,1922,Under Construction,3,,0,Madipakkam,Jones Foundations
81.57,1255,Under Construction,2,,0,Madipakkam,Jones Foundations
82.48,1269,Under Construction,2,,0,Madipakkam,Jones Foundations
125,1925,Under Construction,3,,0,Madipakkam,Jones Foundations
99.32,1528,Under Construction,3,,0,Madipakkam,Jones Foundations
90.74,1396,Under Construction,3,2,0,Madipakkam,Jones Foundations
91,1400,Under Construction,3,,0,Madipakkam,Jones Foundations
32.62,989,Ready to move,2,2,1,Perumbakkam,Plaza Group
33.31,1010,Ready to move,2,,1,Perumbakkam,Plaza Group
38.33,1162,Ready to move,3,,1,Perumbakkam,Plaza Group
